instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
709,2012-12-09,4,1,12,0,0,0,2,38,39,91,16,441,2787,3228
710,2012-12-10,4,1,12,0,1,1,2,44,44,92,19,329,4841,5170
711,2012-12-11,4,1,12,0,2,1,2,35,34,60,30,282,5219,5501
712,2012-12-12,4,1,12,0,3,1,2,30,30,54,16,310,5009,5319
713,2012-12-13,4,1,12,0,4,1,1,30,29,49,17,425,5107,5532
714,2012-12-14,4,1,12,0,5,1,1,28,29,64,13,429,5182,5611
715,2012-12-15,4,1,12,0,6,0,1,32,34,65,11,767,4280,5047
716,2012-12-16,4,1,12,0,0,0,2,36,37,84,10,538,3248,3786
717,2012-12-17,4,1,12,0,1,1,2,39,40,91,10,212,4373,4585
718,2012-12-18,4,1,12,0,2,1,1,41,41,67,22,433,5124,5557
719,2012-12-19,4,1,12,0,3,1,1,33,34,63,18,333,4934,5267
720,2012-12-20,4,1,12,0,4,1,2,33,34,67,13,314,3814,4128
721,2012-12-21,1,1,12,0,5,1,2,33,30,56,37,221,3402,3623
722,2012-12-22,1,1,12,0,6,0,1,27,24,44,41,205,1544,1749
723,2012-12-23,1,1,12,0,0,0,1,25,26,52,13,408,1379,1787
724,2012-12-24,1,1,12,0,1,1,2,23,26,79,8,174,746,920
725,2012-12-25,1,1,12,1,2,0,2,29,29,73,17,440,573,1013
726,2012-12-26,1,1,12,0,3,1,3,24,22,82,32,9,432,441
727,2012-12-27,1,1,12,0,4,1,2,25,23,65,35,247,1867,2114
728,2012-12-28,1,1,12,0,5,1,2,25,26,59,16,644,2451,3095
729,2012-12-29,1,1,12,0,6,0,2,25,24,75,12,159,1182,1341
730,2012-12-30,1,1,12,0,0,0,1,26,23,48,35,364,1432,1796
731,2012-12-31,1,1,12,0,1,1,2,22,22,58,15,439,2290,2729
